"","avg_log2FC","p_val","regulate","label"
"Rv1318c",1.73472885587655,1.21020304604072e-40,"Up","Rv1318c"
"Rv0462",0.717145263419335,9.28996275711326e-40,"Stable",""
"Rv0486",-0.774652793770509,1.32812754232067e-39,"Stable",""
"Rv3336c",0.464444147061064,3.55293965268182e-39,"Stable",""
"Rv1560",-0.340750863500041,5.52234494039291e-39,"Stable",""
"Rv2177c",0.299291625947069,5.38867605960822e-39,"Stable",""
"Rv2201",-0.262345041209253,5.42465454291609e-39,"Stable",""
"Rv0854",0.243980400318343,8.81301297951933e-39,"Stable",""
"Rv0258c",-0.247310523549796,1.06750847454248e-38,"Stable",""
"Rv0456A",-0.223812297293282,1.80568524608126e-38,"Stable",""
"Rv2975c",-0.172776333938319,2.4029940846537e-38,"Stable",""
"Rv2524c",-1.62795268023754,3.27366359686726e-38,"Down","Rv2524c"
"Rv3727",1.34315565175108,4.92114635020412e-38,"Up","Rv3727"
"Rv1271c",1.00206036162891,5.15243815156542e-38,"Up",""
"Rv2062c",0.117524037848204,5.25670960027323e-38,"Stable",""
"Rv2248",-0.928572800238129,5.9342310517926e-38,"Stable",""
"Rv2990c",0.124025041107625,7.6000115056977e-38,"Stable",""
"Rv1073",-0.998967770412435,8.38480510952175e-38,"Stable",""
"Rv1517",-0.114873907116714,8.7171674411672e-38,"Stable",""
"Rv2497c",-1.7318628141959,1.32655646862258e-37,"Down","Rv2497c"
"Rv2178c",0.663978463357127,1.4850354965674e-37,"Stable",""
"Rv0996",-1.40140071788538,1.84322601456119e-37,"Down","Rv0996"
"Rv3172c",0.0770339082699607,1.64675371109514e-37,"Stable",""
"Rv2202c",0.737448944209245,2.05827001675403e-37,"Stable",""
"Rv1799",0.0786986344934402,1.76046937908265e-37,"Stable",""
"Rv1519",1.2225670606111,2.39318837082811e-37,"Up","Rv1519"
"Rv2081c",1.11428234559726,2.45906748587912e-37,"Up","Rv2081c"
"Rv2583c",-0.62442778712661,3.69606299474654e-37,"Stable",""
"Rv2104c",-0.0658327601914301,3.16444314209511e-37,"Stable",""
"Rv3001c",1.01272812665549,3.74029342122812e-37,"Up",""
"Rv2172c",0.941913697370875,3.50474503772064e-37,"Stable",""
"Rv1686c",-0.489933670814949,3.89584861395503e-37,"Stable",""
"Rv3612c",-1.22390403355879,2.4864787725222e-37,"Down","Rv3612c"
"Rv1320c",1.0382564469304,4.46272249764567e-37,"Up",""
"Rv1665",-0.440382086581881,3.76790381809209e-37,"Stable",""
"Rv3728",1.52730309340268,5.68601935811972e-37,"Up","Rv3728"
"Rv0382c",-0.637716488739391,3.56937252766058e-37,"Stable",""
"Rv0725c",-0.422455254124621,6.0955277248018e-37,"Stable",""
"Rv1718",0.390679856762326,5.89741289084916e-37,"Stable",""
"Rv2240c",0.708282484512726,5.6615239450465e-37,"Stable",""
"Rv1564c",-0.0501851625148646,6.82026443028836e-37,"Stable",""
"Rv1060",-0.352232658805509,7.54676395477052e-37,"Stable",""
"Rv0530",-0.0468273337182197,8.12571632708187e-37,"Stable",""
"Rv2315c",-0.288689468178474,8.45404857177363e-37,"Stable",""
"Rv2616",-0.519538672959857,8.83446838654023e-37,"Stable",""
"Rv1234",-0.478399740060329,8.86450142534376e-37,"Stable",""
"Rv1714",0.569395859069814,1.09366660167864e-36,"Stable",""
"Rv1241",0.322779001371091,1.3086492207426e-36,"Stable",""
"Rv2688c",-1.14607176488944,8.05114151824211e-37,"Down","Rv2688c"
"Rv3058c",1.05927820266632,1.34262402526775e-36,"Up",""
"Rv1802",0.504189078337713,1.50691294021468e-36,"Stable",""
"Rv1592c",-0.618462509693057,1.93342440064761e-36,"Stable",""
"Rv2226",0.268697453405089,1.73149385606751e-36,"Stable",""
"Rv0847",-0.270996735984907,1.80178514627315e-36,"Stable",""
"Rv1468c",-0.507746088076457,1.69922547164657e-36,"Stable",""
"Rv1682",0.490581678993578,1.64596992607023e-36,"Stable",""
"Rv1765A",0.826284565902398,1.898202920356e-36,"Stable",""
"Rv1530",-0.267725248595651,1.83826911661061e-36,"Stable",""
"Rv3616c",-0.261221250820112,2.0525259578434e-36,"Stable",""
"Rv2140c",-0.656230336789623,1.7320374736611e-36,"Stable",""
"Rv1683",-0.784776362018697,2.55230417161393e-36,"Stable",""
"Rv3226c",-0.402233798880411,2.07991531029599e-36,"Stable",""
"Rv1856c",0.415223951432022,2.64207402911692e-36,"Stable",""
"Rv3046c",-0.228591114653813,3.39373913890838e-36,"Stable",""
"Rv2166c",-0.458314674770151,3.95814737821637e-36,"Stable",""
"Rv2770c",-0.322566630771741,3.8215747322238e-36,"Stable",""
"Rv1729c",0.345388158415883,4.37016003872761e-36,"Stable",""
"Rv3666c",0.32381059709426,4.34255330439027e-36,"Stable",""
"Rv1486c",-0.309413432627627,4.78185865491903e-36,"Stable",""
"Rv2517c",-0.408271280090471,4.23068537130238e-36,"Stable",""
"Rv0907",0.303411567298097,4.79788453099575e-36,"Stable",""
"Rv1827",0.50846704948057,5.94023327031064e-36,"Stable",""
"Rv2185c",0.351848655390326,6.2749855728992e-36,"Stable",""
"Rv3064c",-0.315141451919834,5.6304281198358e-36,"Stable",""
"Rv1702c",0.278913707281284,6.18277241524952e-36,"Stable",""
"Rv2242",-0.251555088493252,5.73167666214239e-36,"Stable",""
"Rv1776c",-0.255930800947668,6.80793701650603e-36,"Stable",""
"Rv2082",0.392462083026427,8.33758921279241e-36,"Stable",""
"Rv0779c",-0.139220876468416,1.00217957032392e-35,"Stable",""
"Rv2560",-0.117972436004139,8.75176653423268e-36,"Stable",""
"Rv3049c",-0.26444102243487,9.93580194339392e-36,"Stable",""
"Rv2221c",-0.324164299793958,1.01904372803294e-35,"Stable",""
"Rv1284",-0.205888035945776,9.89306832519046e-36,"Stable",""
"Rv2116",0.0139120073874786,1.08868638823374e-35,"Stable",""
"Rv2092c",-0.109464501846341,1.11445380715725e-35,"Stable",""
"Rv0520",-0.247898682119905,1.29951144749586e-35,"Stable",""
"Rv3687c",0.364829784599317,1.55587015462547e-35,"Stable",""
"Rv2074",-0.213129041412932,2.15782201207763e-35,"Stable",""
"Rv2988c",0.26243245751429,2.10950937929771e-35,"Stable",""
"Rv1121",-0.366852489421145,2.63176947854353e-35,"Stable",""
"Rv2263",-0.333794779596309,2.83992565209005e-35,"Stable",""
"Rv2187",0.17628670616609,3.1439548324935e-35,"Stable",""
"Rv2682c",0.308936662551881,2.88263077184156e-35,"Stable",""
"Rv1193",0.159480763861898,3.35714214656529e-35,"Stable",""
"Rv2308",-0.145295064177175,4.23051609256264e-35,"Stable",""
"Rv2102",0.149540318251779,4.54436220406451e-35,"Stable",""
"Rv3081",-0.193950132834612,4.91941048198184e-35,"Stable",""
"Rv3674c",0.25241648175119,5.2591594150247e-35,"Stable",""
"Rv1707",0.358048422484451,7.07686654434465e-35,"Stable",""
"Rv1607",0.123117787264476,7.49405549615814e-35,"Stable",""
"Rv2132",-0.169998597067581,7.3063713213567e-35,"Stable",""
"Rv1773c",-0.211256335005917,6.82662567754036e-35,"Stable",""
"Rv1750c",0.106551259881405,7.75226883280193e-35,"Stable",""
"Rv1514c",0.1096840020823,8.8867626425929e-35,"Stable",""
"Rv2046",0.190102775198287,9.42738945994502e-35,"Stable",""
"Rv2115c",-0.113023028080898,1.27239060381081e-34,"Stable",""
"Rv0543c",0.149188809248049,1.32411805535965e-34,"Stable",""
"Rv2237",-0.127544357692928,1.15043322634008e-34,"Stable",""
"Rv3225c",0.0805460336534001,2.0810876790262e-34,"Stable",""
"Rv0333",-0.0686684513927638,1.78156309068644e-34,"Stable",""
"Rv2581c",-0.156123039088742,2.33106335767237e-34,"Stable",""
"Rv2224c",0.0341303062396712,2.81069490648248e-34,"Stable",""
"Rv3675",0.0981070125319796,3.6118052743807e-34,"Stable",""
"Rv1753c",-0.0575504883488964,4.80118426272505e-34,"Stable",""
"Rv1536",0.0825461518809636,4.875090559704e-34,"Stable",""
"Rv1633",-0.0488046691609174,6.82475378692441e-34,"Stable",""
"Rv1780",-0.0668035685491137,8.81681294097978e-34,"Stable",""
"Rv3027c",0.0571563991880168,1.07823468026884e-33,"Stable",""
"Rv0217c",0.0632367204719912,1.55209566315014e-33,"Stable",""
"Rv2176",-0.0275221971437762,1.91221503668447e-33,"Stable",""
"Rv0805",0.0156840363400974,2.57083469973842e-33,"Stable",""
"Rv3676",7.105427357601e-15,0.187250402550389,"Stable",""
"Rv1565c",3.5527136788005e-15,0.210544079971071,"Stable",""
"Rv3004",-1.77635683940025e-15,0.735787916537712,"Stable",""
"Rv3107c",0,1,"Stable",""
