gene,avg_log2FC,p_val,regulate,label
Rv3136,-6.300454328,2.32E-12,Down,Rv3136
Rv1094,-3.905951424,2.06E-11,Down,
Rv1196,-5.975489802,1.88E-11,Down,Rv1196
Rv0251c,5.264666452,2.43E-11,Up,Rv0251c
Rv1807,4.025107895,2.73E-11,Up,
Rv1405c,4.03116024,2.90E-11,Up,
Rv1195,-5.370848161,2.64E-11,Down,
Rv1992c,3.676050152,4.03E-11,Up,
Rv3136A,-6.041559835,2.93E-11,Down,Rv3136A
Rv0677c,-4.070208633,4.15E-11,Down,
Rv1197,-4.697706042,4.76E-11,Down,
Rv1460,3.91000841,5.83E-11,Up,
Rv3202c,3.522054147,6.13E-11,Up,
Rv3648c,-5.229964734,6.29E-11,Down,
Rv1226c,4.367378492,7.92E-11,Up,Rv1226c
Rv0384c,3.885564613,1.03E-10,Up,
Rv0969,3.229099782,1.09E-10,Up,
Rv3230c,3.303678672,1.10E-10,Up,
Rv3137,-3.965747668,1.23E-10,Down,
Rv1630,-3.311870055,1.34E-10,Down,
Rv0266c,2.722517133,1.47E-10,Up,
Rv3825c,3.303275246,1.53E-10,Up,
Rv3176c,5.399178536,1.32E-10,Up,Rv3176c
Rv1801,3.81205384,1.57E-10,Up,
Rv1908c,2.868998797,1.65E-10,Up,
Rv1641,-2.738342101,1.75E-10,Down,
Rv2641,3.135124784,1.77E-10,Up,
Rv1225c,3.202509823,1.94E-10,Up,
Rv1808,3.769495747,2.23E-10,Up,
Rv1805c,2.597022201,2.37E-10,Up,
Rv1109c,-3.203631565,2.38E-10,Down,
Rv3229c,3.335780447,2.43E-10,Up,
Rv1612,-3.37138836,2.78E-10,Down,
Rv2941,-2.575303772,2.95E-10,Down,
Rv3203,3.032316236,3.14E-10,Up,
Rv1227c,2.573296124,3.21E-10,Up,
Rv1642,-3.072862114,3.37E-10,Down,
Rv2147c,-2.772454739,3.38E-10,Down,
Rv1376,2.555704994,3.36E-10,Up,
Rv1994c,3.969165106,3.25E-10,Up,
Rv0678,-2.88767433,3.61E-10,Down,
Rv3406,3.114196493,3.82E-10,Up,
Rv2457c,-2.906440036,3.79E-10,Down,
Rv0278c,4.003415174,3.94E-10,Up,
Rv2643,3.050026994,4.14E-10,Up,
Rv1387,-2.334567779,3.98E-10,Down,
Rv3743c,3.274336599,4.13E-10,Up,
Rv1375,2.402563622,4.01E-10,Up,
Rv2667,3.914176276,4.13E-10,Up,
Rv1626,-3.39463951,4.58E-10,Down,
Rv1198,-3.75938199,4.68E-10,Down,
Rv1872c,-2.722530657,4.70E-10,Down,
Rv3921c,-2.404521315,4.63E-10,Down,
Rv1467c,2.48456565,4.73E-10,Up,
Rv1980c,-2.644502284,4.81E-10,Down,
Rv3423c,2.413620295,4.92E-10,Up,
Rv1095,-2.516934484,4.83E-10,Down,
Rv0823c,-2.284890241,4.94E-10,Down,
Rv0194,3.063677728,5.16E-10,Up,
Rv3148,-2.901545342,5.25E-10,Down,
Rv0896,-2.86133712,5.17E-10,Down,
Rv1309,-2.336442247,5.24E-10,Down,
Rv2655c,2.990618687,5.59E-10,Up,
Rv1310,-2.209037548,5.33E-10,Down,
Rv0831c,-3.227091204,5.63E-10,Down,
Rv0648,3.035246588,5.71E-10,Up,
Rv0146,2.400804187,5.61E-10,Up,
Rv0373c,3.335025719,5.75E-10,Up,
Rv0188,2.410032996,5.56E-10,Up,
Rv2190c,-2.347194632,5.74E-10,Down,
Rv1988,2.505098685,5.93E-10,Up,
Rv1993c,3.445099904,5.97E-10,Up,
Rv0152c,3.032720422,6.10E-10,Up,
Rv1395,3.371750135,6.74E-10,Up,
Rv2874,2.710340492,6.74E-10,Up,
Rv0151c,2.361730079,6.65E-10,Up,
Rv1199c,-3.949977348,6.74E-10,Down,
Rv3295,-2.700659669,7.04E-10,Down,
Rv0304c,2.545131279,6.70E-10,Up,
Rv2742c,2.300385527,6.85E-10,Up,
Rv0710,-2.597398961,6.89E-10,Down,
Rv1322A,-2.634032756,6.80E-10,Down,
Rv1177,-3.494047506,7.25E-10,Down,
Rv1057,2.671174461,6.83E-10,Up,
Rv0545c,-2.177147339,6.80E-10,Down,
Rv1611,-2.920824612,7.29E-10,Down,
Rv0108c,-2.318694537,7.05E-10,Down,
Rv1386,-4.297615654,6.83E-10,Down,
Rv2158c,3.001160601,7.15E-10,Up,
Rv1613,-3.894359186,7.81E-10,Down,
Rv1307,-2.257789103,7.34E-10,Down,
Rv2488c,2.444938861,7.80E-10,Up,
Rv3920c,-2.724721356,7.93E-10,Down,
Rv0147,2.004750822,7.73E-10,Up,
Rv0715,-2.846785597,8.39E-10,Down,
Rv1402,3.105415944,8.31E-10,Up,
Rv1306,-2.727686408,8.62E-10,Down,
Rv0652,-3.503008287,8.81E-10,Down,
Rv3903c,2.621461486,8.66E-10,Up,
Rv0197,2.523404171,8.36E-10,Up,
Rv1614,-2.615196879,8.91E-10,Down,
Rv0654,2.476592055,8.68E-10,Up,
Rv2157c,2.088093893,8.65E-10,Up,
Rv0244c,1.953991652,8.71E-10,Up,
Rv1697,-2.467021983,9.19E-10,Down,
Rv1804c,3.593866411,9.82E-10,Up,
Rv2201,1.978977883,9.04E-10,Up,
Rv1305,-3.714054977,9.97E-10,Down,
Rv3246c,-2.358574518,9.43E-10,Down,
Rv0009,-3.842464366,1.01E-09,Down,
Rv3290c,3.047222308,9.61E-10,Up,
Rv1368,-2.744351723,1.05E-09,Down,
Rv3659c,3.373593139,1.06E-09,Up,
Rv3514,4.82095904,1.07E-09,Up,Rv3514
Rv0848,2.337067846,9.87E-10,Up,
Rv0834c,3.612064727,1.00E-09,Up,
Rv1817,2.309397745,1.02E-09,Up,
Rv2727c,2.365478878,1.07E-09,Up,
Rv3408,-2.064151392,1.01E-09,Down,
Rv3223c,2.081766605,9.88E-10,Up,
Rv2952,-2.50177355,1.12E-09,Down,
Rv0934,-2.554562794,1.11E-09,Down,
Rv0193c,2.585417281,1.13E-09,Up,
Rv1917c,2.219972312,1.11E-09,Up,
Rv0629c,2.340555021,1.12E-09,Up,
Rv1802,2.21878131,1.13E-09,Up,
Rv3002c,-3.182628792,1.19E-09,Down,
Rv3923c,-2.291694841,1.16E-09,Down,
Rv0977,2.548174882,1.16E-09,Up,
Rv3156,-2.248483679,1.15E-09,Down,
Rv1129c,-2.766578303,1.21E-09,Down,
Rv2670c,2.888891321,1.27E-09,Up,
Rv3823c,2.185114098,1.18E-09,Up,
Rv0475,2.167275738,1.14E-09,Up,
Rv2150c,-2.022278927,1.18E-09,Down,
Rv2986c,-2.767248836,1.19E-09,Down,
Rv0705,-2.216499722,1.23E-09,Down,
Rv1990c,2.386014748,1.31E-09,Up,
Rv2053c,2.388797004,1.26E-09,Up,
Rv3206c,2.385424772,1.24E-09,Up,
Rv3583c,-3.466330302,1.27E-09,Down,
Rv1966,3.946920312,1.30E-09,Up,
Rv3152,-2.561664975,1.35E-09,Down,
Rv1932,-4.139135196,1.39E-09,Down,
Rv0973c,2.316611579,1.35E-09,Up,
Rv2624c,2.334724779,1.34E-09,Up,
Rv3062,2.150850687,1.31E-09,Up,
Rv0935,-2.361575192,1.40E-09,Down,
Rv1223,2.072147877,1.31E-09,Up,
Rv0685,-2.33229328,1.33E-09,Down,
Rv0968,2.321923225,1.35E-09,Up,
Rv1792,-2.604034936,1.47E-09,Down,
Rv3449,2.928224068,1.54E-09,Up,
Rv0109,2.759410286,1.54E-09,Up,
Rv0651,-2.529086861,1.47E-09,Down,
Rv0704,-1.892851088,1.36E-09,Down,
Rv0709,-2.379592312,1.52E-09,Down,
Rv1259,2.819336986,1.58E-09,Up,
Rv3150,-2.284864787,1.53E-09,Down,
Rv2052c,3.127836627,1.45E-09,Up,
Rv0453,2.398743766,1.55E-09,Up,
Rv1884c,-2.791373831,1.54E-09,Down,
Rv3582c,-1.891827278,1.42E-09,Down,
Rv0679c,-2.449129621,1.60E-09,Down,
Rv2195,-1.966788022,1.45E-09,Down,
Rv0952,-2.107001986,1.61E-09,Down,
Rv3135,-2.684731973,1.71E-09,Down,
Rv0285,-2.598188381,1.75E-09,Down,
Rv3478,-2.565164872,1.65E-09,Down,
Rv1964,3.820900149,1.86E-09,Up,
Rv1013,1.777456042,1.61E-09,Up,
Rv2137c,-2.348026607,1.83E-09,Down,
Rv1436,-2.430759292,1.70E-09,Down,
Rv2932,3.081832514,1.68E-09,Up,
Rv1464,1.996881467,1.66E-09,Up,
Rv1871c,-3.402339117,1.76E-09,Down,
Rv0631c,2.374869312,1.78E-09,Up,
Rv3447c,3.245678735,1.92E-09,Up,
Rv1145,2.790200172,1.93E-09,Up,
Rv1925,-1.965835267,1.67E-09,Down,
Rv3201c,2.733285844,1.78E-09,Up,
Rv0492c,2.577553944,1.78E-09,Up,
Rv0174,-1.961328499,1.69E-09,Down,
Rv2159c,2.623480002,1.70E-09,Up,
Rv3175,3.489634217,1.87E-09,Up,
Rv2094c,-3.379018042,2.00E-09,Down,
Rv1411c,-2.634434042,1.87E-09,Down,
Rv0655,-2.032080447,1.75E-09,Down,
Rv2220,-1.93197831,1.73E-09,Down,
Rv3428c,2.868215762,2.04E-09,Up,
Rv1986,2.178289433,1.95E-09,Up,
Rv0005,-1.921815121,1.77E-09,Down,
Rv0111,1.876741403,1.84E-09,Up,
Rv2259,-2.324874484,2.02E-09,Down,
Rv3407,-2.430362236,1.88E-09,Down,
Rv3660c,1.813451975,1.82E-09,Up,
