gene,avg_log2FC,p_val,regulate,label
Rv3136,-5.566518402,3.29E-10,Down,Rv3136
Rv1196,-3.041574854,3.52E-09,Down,
Rv3136A,-3.842497394,6.99E-09,Down,Rv3136A
Rv0667,-2.703878718,7.47E-09,Down,
Rv2986c,-3.170995899,8.19E-09,Down,
Rv0288,-3.039022672,9.57E-09,Down,
Rv3137,-3.327407755,1.06E-08,Down,Rv3137
Rv2380c,-2.707916742,1.13E-08,Down,
Rv0685,-2.590834938,1.14E-08,Down,
Rv1197,-2.848187821,1.18E-08,Down,
Rv0284,-2.286470252,1.38E-08,Down,
Rv0710,-2.972871688,1.55E-08,Down,
Rv0286,-2.425127105,1.73E-08,Down,
Rv2935,-2.254195084,1.73E-08,Down,
Rv3921c,-2.351332396,1.93E-08,Down,
Rv0704,-2.700701761,1.97E-08,Down,
Rv0706,-2.231522204,2.37E-08,Down,
Rv0705,-2.392977626,2.81E-08,Down,
Rv2951c,-2.672934955,2.87E-08,Down,
Rv0668,-2.054162915,2.71E-08,Down,
Rv3426,-2.944487083,3.08E-08,Down,
Rv2950c,-2.598260222,2.95E-08,Down,
Rv0934,-2.450619882,3.95E-08,Down,
Rv0707,-2.357275567,3.96E-08,Down,
Rv0718,-2.552374836,4.07E-08,Down,
Rv1697,-2.315214174,4.13E-08,Down,
Rv0220,-2.076158948,4.15E-08,Down,
Rv2048c,-1.995890724,4.14E-08,Down,
Rv0174,-2.072128267,4.28E-08,Down,
Rv2936,-2.508619171,4.61E-08,Down,
Rv2378c,-2.76443087,5.21E-08,Down,
Rv0709,-2.443780202,5.43E-08,Down,
Rv2946c,-2.406218191,5.60E-08,Down,
Rv1547,-1.878886235,5.90E-08,Down,
Rv1613,-2.37552405,6.60E-08,Down,
Rv0684,-1.941386353,6.30E-08,Down,
Rv3648c,-2.746763901,6.48E-08,Down,
Rv0935,-2.058380513,7.17E-08,Down,
Rv0287,-3.322479829,7.26E-08,Down,Rv0287
Rv1387,-2.269388298,6.84E-08,Down,
Rv0708,-2.463626499,7.31E-08,Down,
Rv1436,-2.027468953,7.19E-08,Down,
