source,target,interaction_type,weight
bin678,bin685,DNA-DNA,1
bin144,bin151,DNA-DNA,1
bin34,bin41,DNA-DNA,1
bin322,bin333,DNA-DNA,1
bin537,bin544,DNA-DNA,1
bin606,bin613,DNA-DNA,1
bin550,bin557,DNA-DNA,1
bin464,bin474,DNA-DNA,1
bin455,bin464,DNA-DNA,1
bin686,bin695,DNA-DNA,1
bin567,bin574,DNA-DNA,1
bin370,bin383,DNA-DNA,1
bin417,bin424,DNA-DNA,1
bin424,bin431,DNA-DNA,1
bin496,bin503,DNA-DNA,1
bin269,bin307,DNA-DNA,1
bin582,bin590,DNA-DNA,1
bin163,bin171,DNA-DNA,1
bin474,bin489,DNA-DNA,1
bin471,bin478,DNA-DNA,1
bin445,bin488,DNA-DNA,1
bin303,bin311,DNA-DNA,1
bin659,bin671,DNA-DNA,1
bin233,bin240,DNA-DNA,1
bin209,bin231,DNA-DNA,1
bin717,bin733,DNA-DNA,1
bin318,bin338,DNA-DNA,1
bin401,bin408,DNA-DNA,1
bin70,bin80,DNA-DNA,1
bin391,bin442,DNA-DNA,1
bin61,bin80,DNA-DNA,1
bin590,bin597,DNA-DNA,1
bin785,bin792,DNA-DNA,1
bin556,bin563,DNA-DNA,1
bin379,bin391,DNA-DNA,1
bin393,bin400,DNA-DNA,1
bin206,bin213,DNA-DNA,1
bin832,bin839,DNA-DNA,1
bin196,bin209,DNA-DNA,1
bin129,bin136,DNA-DNA,1
bin639,bin646,DNA-DNA,1
bin428,bin474,DNA-DNA,1
bin848,bin855,DNA-DNA,1
bin646,bin653,DNA-DNA,1
bin739,bin746,DNA-DNA,1
bin189,bin196,DNA-DNA,1
bin269,bin276,DNA-DNA,1
bin245,bin259,DNA-DNA,1
bin139,bin146,DNA-DNA,1
bin598,bin605,DNA-DNA,1
bin95,bin102,DNA-DNA,1
bin133,bin140,DNA-DNA,1
bin428,bin465,DNA-DNA,1
bin520,bin574,DNA-DNA,1
bin409,bin465,DNA-DNA,1
bin229,bin236,DNA-DNA,1
bin71,bin97,DNA-DNA,1
bin745,bin768,DNA-DNA,1
bin371,bin428,DNA-DNA,1
bin375,bin409,DNA-DNA,1
bin371,bin492,DNA-DNA,1
bin615,bin645,DNA-DNA,1
bin616,bin632,DNA-DNA,1
bin180,bin209,DNA-DNA,1
bin136,bin166,DNA-DNA,1
bin631,bin671,DNA-DNA,1
bin829,bin836,DNA-DNA,1
bin743,bin750,DNA-DNA,1
bin371,bin436,DNA-DNA,1
bin209,bin241,DNA-DNA,1
bin503,bin540,DNA-DNA,1
Protein1,Protein2,Protein-Protein,1
dnaA,dnaB,Protein-Protein,1
dnaA,aac,Protein-Protein,1
dnaA,Rv0301,Protein-Protein,1
dnaA,bpoC,Protein-Protein,1
dnaA,Rv1046c,Protein-Protein,1
dnaA,Rv1505c,Protein-Protein,1
dnaA,bfrA,Protein-Protein,1
dnaA,Rv2119,Protein-Protein,1
dnaA,Rv2522c,Protein-Protein,1
dnaA,glpQ1,Protein-Protein,1
dnaA,Rv3878,Protein-Protein,1
dnaN,Rv0484c,Protein-Protein,1
dnaN,Rv2621c,Protein-Protein,1
dnaN,Rv3142c,Protein-Protein,1
recF,Rv1003,Protein-Protein,1
recF,hemE,Protein-Protein,1
recF,tmk,Protein-Protein,1
recF,Rv3817,Protein-Protein,1
recF,glpQ1,Protein-Protein,1
Rv0004,Rv0165c,Protein-Protein,1
Rv0004,Rv0277c,Protein-Protein,1
Rv0004,Rv0566c,Protein-Protein,1
gyrB,Rv1455,Protein-Protein,1
gyrB,Rv1580c,Protein-Protein,1
gyrB,Rv1975,Protein-Protein,1
gyrB,Rv2323c,Protein-Protein,1
gyrB,Rv2645,Protein-Protein,1
gyrB,Rv2654c,Protein-Protein,1
Rv0007,Rv0825c,Protein-Protein,1
Rv0007,Rv2630,Protein-Protein,1
Rv0007,echA19,Protein-Protein,1
Rv0010c,hsp,Protein-Protein,1
Rv0010c,Rv1574,Protein-Protein,1
Rv0011c,ffh,Protein-Protein,1
trpG,Rv1321,Protein-Protein,1
trpG,dapB,Protein-Protein,1
trpG,whiB7,Protein-Protein,1
trpG,echA19,Protein-Protein,1
trpG,Rv3889c,Protein-Protein,1
trpG,parB,Protein-Protein,1
pknB,Rv0031,Protein-Protein,1
pknB,gmhB,Protein-Protein,1
pknB,Rv0601c,Protein-Protein,1
pknB,Rv0724A,Protein-Protein,1
pknB,Rv2086,Protein-Protein,1
pknB,Rv2601A,Protein-Protein,1
pknA,fabH,Protein-Protein,1
pknA,kasA,Protein-Protein,1
pknA,suhB,Protein-Protein,1
pknA,aroA,Protein-Protein,1
pknA,Rv3748,Protein-Protein,1
pknA,Rv3836,Protein-Protein,1
ppp,mapA,Protein-Protein,1
ppp,Rv1856c,Protein-Protein,1
ppp,Rv2557,Protein-Protein,1
ppp,pdxH,Protein-Protein,1
ppp,ligA,Protein-Protein,1
ppp,whiB3,Protein-Protein,1
TB39.8,Rv0358,Protein-Protein,1
TB39.8,uvrD1,Protein-Protein,1
TB39.8,Rv1144,Protein-Protein,1
TB39.8,fdxC,Protein-Protein,1
TB39.8,Rv2286c,Protein-Protein,1
TB39.8,Rv2665,Protein-Protein,1
TB39.8,Rv3123,Protein-Protein,1
TB39.8,Rv3352c,Protein-Protein,1
whiB5,Rv0657c,Protein-Protein,1
whiB5,Rv1264,Protein-Protein,1
whiB5,Rv2646,Protein-Protein,1
whiB5,pks1,Protein-Protein,1
whiB5,Rv3235,Protein-Protein,1
whiB5,Rv3845,Protein-Protein,1
Rv0024,Rv0209,Protein-Protein,1
Rv0024,Rv0494,Protein-Protein,1
Rv0024,rpsS,Protein-Protein,1
Rv0024,fadA3,Protein-Protein,1
Rv0024,Rv1714,Protein-Protein,1
Rv0024,fadE18,Protein-Protein,1
Rv0024,Rv2035,Protein-Protein,1
Rv0024,Rv2464c,Protein-Protein,1
Rv0024,ffh,Protein-Protein,1
Rv0024,rhlE,Protein-Protein,1
Rv0024,whiB3,Protein-Protein,1
Rv0024,Rv3881c,Protein-Protein,1
Rv0025,rplW,Protein-Protein,1
Rv0025,hisB,Protein-Protein,1
Rv0025,Rv2286c,Protein-Protein,1
Rv0025,Rv2419c,Protein-Protein,1
Rv0025,Rv2437,Protein-Protein,1
Rv0025,infA,Protein-Protein,1
Rv0025,hpt,Protein-Protein,1
Rv0026,cspB,Protein-Protein,1
Rv0026,celA2a,Protein-Protein,1
Rv0026,Rv2509,Protein-Protein,1
Rv0027,Rv0039c,Protein-Protein,1
Rv0027,Rv0147,Protein-Protein,1
Rv0027,Rv0439c,Protein-Protein,1
Rv0027,ufaA1,Protein-Protein,1
Rv0027,Rv0471c,Protein-Protein,1
Rv0027,Rv0608,Protein-Protein,1
Rv0027,Rv0626,Protein-Protein,1
Rv0027,rpsS,Protein-Protein,1
Rv0027,Rv0799c,Protein-Protein,1
Rv0027,Rv0850,Protein-Protein,1
Rv0027,pstA1,Protein-Protein,1
Rv0027,Rv1004c,Protein-Protein,1
Rv0027,Rv1054,Protein-Protein,1
Rv0027,xseA,Protein-Protein,1
Rv0027,Rv1259,Protein-Protein,1
Rv0027,Rv1287,Protein-Protein,1
Rv0027,Rv1301,Protein-Protein,1
Rv0027,moeY,Protein-Protein,1
Rv0027,pyrC,Protein-Protein,1
Rv0027,fadD24,Protein-Protein,1
Rv0027,Rv1627c,Protein-Protein,1
Rv0027,gnd1,Protein-Protein,1
Rv0027,Rv1952,Protein-Protein,1
Rv0027,Rv2026c,Protein-Protein,1
Rv0027,Rv2086,Protein-Protein,1
Rv0027,dgt,Protein-Protein,1
Rv0027,recO,Protein-Protein,1
Rv0027,aroF,Protein-Protein,1
Rv0027,dapB,Protein-Protein,1
Rv0027,Rv2915c,Protein-Protein,1
Rv0027,Rv2943,Protein-Protein,1
Rv0027,Rv3263,Protein-Protein,1
Rv0027,rmlC,Protein-Protein,1
Rv0027,Rv3579c,Protein-Protein,1
Rv0027,glf,Protein-Protein,1
Rv0027,papA1,Protein-Protein,1
Rv0028,Rv0333,Protein-Protein,1
Rv0028,pknJ,Protein-Protein,1
Rv0028,Rv3351c,Protein-Protein,1
Rv0028,Rv3880c,Protein-Protein,1
Rv0029,Rv1117,Protein-Protein,1
Rv0029,Rv2787,Protein-Protein,1
Rv0031,Rv0303,Protein-Protein,1
Rv0031,Rv1544,Protein-Protein,1
Rv0031,Rv1752,Protein-Protein,1
Rv0031,Rv2067c,Protein-Protein,1
Rv0031,dapB,Protein-Protein,1
Rv0031,ispD,Protein-Protein,1
Rv0031,topA,Protein-Protein,1
bioF2,Rv2696c,Protein-Protein,1
acpA,Rv0997,Protein-Protein,1
acpA,fadD21,Protein-Protein,1
acpA,Rv2175c,Protein-Protein,1
acpA,pdhB,Protein-Protein,1
acpA,Rv3241c,Protein-Protein,1
acpA,Rv3471c,Protein-Protein,1
acpA,Rv3474,Protein-Protein,1
acpA,lppH,Protein-Protein,1
acpA,Rv3698,Protein-Protein,1
fadD34,Rv2520c,Protein-Protein,1
fadD34,Rv3066,Protein-Protein,1
Rv0036c,pyrR,Protein-Protein,1
Rv0036c,cobG,Protein-Protein,1
Rv0036c,Rv2250c,Protein-Protein,1
Rv0036c,Rv2530c,Protein-Protein,1
