id,label,type
bin1,bin1,DNA
bin2,bin2,DNA
bin3,bin3,DNA
bin4,bin4,DNA
bin5,bin5,DNA
bin6,bin6,DNA
bin7,bin7,DNA
bin8,bin8,DNA
bin9,bin9,DNA
bin10,bin10,DNA
bin11,bin11,DNA
bin12,bin12,DNA
bin13,bin13,DNA
bin14,bin14,DNA
bin15,bin15,DNA
bin16,bin16,DNA
bin17,bin17,DNA
bin18,bin18,DNA
bin19,bin19,DNA
bin20,bin20,DNA
bin21,bin21,DNA
bin22,bin22,DNA
bin23,bin23,DNA
bin24,bin24,DNA
bin25,bin25,DNA
bin26,bin26,DNA
bin27,bin27,DNA
bin28,bin28,DNA
bin29,bin29,DNA
bin30,bin30,DNA
bin31,bin31,DNA
bin32,bin32,DNA
bin33,bin33,DNA
bin34,bin34,DNA
bin35,bin35,DNA
bin36,bin36,DNA
bin37,bin37,DNA
bin38,bin38,DNA
bin39,bin39,DNA
bin40,bin40,DNA
bin41,bin41,DNA
bin42,bin42,DNA
bin43,bin43,DNA
bin44,bin44,DNA
bin45,bin45,DNA
bin46,bin46,DNA
bin47,bin47,DNA
bin48,bin48,DNA
bin49,bin49,DNA
bin50,bin50,DNA
bin51,bin51,DNA
bin52,bin52,DNA
bin53,bin53,DNA
bin54,bin54,DNA
bin55,bin55,DNA
bin56,bin56,DNA
bin57,bin57,DNA
bin58,bin58,DNA
bin59,bin59,DNA
bin60,bin60,DNA
bin61,bin61,DNA
bin62,bin62,DNA
bin63,bin63,DNA
bin64,bin64,DNA
bin65,bin65,DNA
bin66,bin66,DNA
bin67,bin67,DNA
bin68,bin68,DNA
bin69,bin69,DNA
bin70,bin70,DNA
bin71,bin71,DNA
bin72,bin72,DNA
bin73,bin73,DNA
bin74,bin74,DNA
bin75,bin75,DNA
bin76,bin76,DNA
bin77,bin77,DNA
bin78,bin78,DNA
bin79,bin79,DNA
bin80,bin80,DNA
bin81,bin81,DNA
bin82,bin82,DNA
bin83,bin83,DNA
bin84,bin84,DNA
bin85,bin85,DNA
bin86,bin86,DNA
bin87,bin87,DNA
bin88,bin88,DNA
bin89,bin89,DNA
bin90,bin90,DNA
bin91,bin91,DNA
bin92,bin92,DNA
bin93,bin93,DNA
bin94,bin94,DNA
bin95,bin95,DNA
bin96,bin96,DNA
bin97,bin97,DNA
bin98,bin98,DNA
bin99,bin99,DNA
bin100,bin100,DNA
bin101,bin101,DNA
bin102,bin102,DNA
bin103,bin103,DNA
bin104,bin104,DNA
bin105,bin105,DNA
bin106,bin106,DNA
bin107,bin107,DNA
bin108,bin108,DNA
bin109,bin109,DNA
bin110,bin110,DNA
bin111,bin111,DNA
bin112,bin112,DNA
bin113,bin113,DNA
bin114,bin114,DNA
bin115,bin115,DNA
bin116,bin116,DNA
bin117,bin117,DNA
bin118,bin118,DNA
bin119,bin119,DNA
bin120,bin120,DNA
bin121,bin121,DNA
bin122,bin122,DNA
bin123,bin123,DNA
bin124,bin124,DNA
bin125,bin125,DNA
bin126,bin126,DNA
bin127,bin127,DNA
bin128,bin128,DNA
bin129,bin129,DNA
bin130,bin130,DNA
bin131,bin131,DNA
bin132,bin132,DNA
bin133,bin133,DNA
bin134,bin134,DNA
bin135,bin135,DNA
bin136,bin136,DNA
bin137,bin137,DNA
bin138,bin138,DNA
bin139,bin139,DNA
bin140,bin140,DNA
bin141,bin141,DNA
bin142,bin142,DNA
bin143,bin143,DNA
bin144,bin144,DNA
bin145,bin145,DNA
bin146,bin146,DNA
bin147,bin147,DNA
bin148,bin148,DNA
bin149,bin149,DNA
bin150,bin150,DNA
bin151,bin151,DNA
bin152,bin152,DNA
bin153,bin153,DNA
bin154,bin154,DNA
bin155,bin155,DNA
bin156,bin156,DNA
bin157,bin157,DNA
bin158,bin158,DNA
bin159,bin159,DNA
bin160,bin160,DNA
bin161,bin161,DNA
bin162,bin162,DNA
bin163,bin163,DNA
bin164,bin164,DNA
bin165,bin165,DNA
bin166,bin166,DNA
bin167,bin167,DNA
bin168,bin168,DNA
bin169,bin169,DNA
bin170,bin170,DNA
bin171,bin171,DNA
bin172,bin172,DNA
bin173,bin173,DNA
bin174,bin174,DNA
bin175,bin175,DNA
bin176,bin176,DNA
bin177,bin177,DNA
bin178,bin178,DNA
bin179,bin179,DNA
bin180,bin180,DNA
bin181,bin181,DNA
bin182,bin182,DNA
bin183,bin183,DNA
bin184,bin184,DNA
bin185,bin185,DNA
bin186,bin186,DNA
bin187,bin187,DNA
bin188,bin188,DNA
bin189,bin189,DNA
bin190,bin190,DNA
bin191,bin191,DNA
bin192,bin192,DNA
bin193,bin193,DNA
bin194,bin194,DNA
bin195,bin195,DNA
bin196,bin196,DNA
bin197,bin197,DNA
bin198,bin198,DNA
bin199,bin199,DNA
bin200,bin200,DNA
bin201,bin201,DNA
bin202,bin202,DNA
bin203,bin203,DNA
bin204,bin204,DNA
bin205,bin205,DNA
bin206,bin206,DNA
bin207,bin207,DNA
bin208,bin208,DNA
bin209,bin209,DNA
bin210,bin210,DNA
bin211,bin211,DNA
bin212,bin212,DNA
bin213,bin213,DNA
bin214,bin214,DNA
bin215,bin215,DNA
bin216,bin216,DNA
bin217,bin217,DNA
bin218,bin218,DNA
bin219,bin219,DNA
bin220,bin220,DNA
bin221,bin221,DNA
bin222,bin222,DNA
bin223,bin223,DNA
bin224,bin224,DNA
