operon_id,promoter_start,promoter_end,gene_names,bin,operon_name,gene_list,bin_coverage,gene_start,gene_end,operon_start,operon_end,strand,operon_length,total_expression,normalized_expression
Rv0001_up,4411183,4411498,Rv0001,"bin1,bin883",Rv0001_up,['Rv0001'],"{1:0.8287112561, 883:0.1712887439}",1,1524,4411183,1524,+,1524,12753.5,8.36843832
Rv0007_up,9564,9913,Rv0007,"bin2, bin3",Rv0007_up,['Rv0007'],"{2: 0.34545454545454546, 3: 0.6545454545454545}",9914,10828,9564,10828,+,915,5262.5,5.75136612
Rv0010c_up,13559,13908,Rv0010c,bin3,Rv0010c_up,['Rv0010c'],{3: 1.0},13558,13133,13133,13908,-,424,5400.5,12.7370283
Rv0020c_up,25445,25794,Rv0020c,"bin5, bin6",Rv0020c_up,['Rv0020c'],"{5: 0.5894519131334023, 6: 0.4105480868665977}",25444,23861,23861,25794,-,1582,22592.5,14.28097345
Rv0022c_up,27443,27792,Rv0022c,bin6,Rv0022c_up,['Rv0022c'],{6: 1.0},27442,27023,27023,27792,-,418,59.5,0.142344498
Rv0023_up,27245,27594,"Rv0023,Rv0024",bin6,Rv0023_up,"['Rv0023', 'Rv0024']",{6: 1.0},27595,29207,27245,29207,+,1613,1150.5,0.713267204
Rv0026_up,29372,29721,Rv0026,"bin6, bin7",Rv0026_up,['Rv0026'],"{6: 0.37065409546258105, 7: 0.629345904537419}",29722,31068,29372,31068,+,1347,1796,1.333333333
Rv0030_up,32874,33223,Rv0030,bin7,Rv0030_up,['Rv0030'],{7: 1.0},33224,33553,32874,33553,+,330,526.5,1.595454545
Rv0040c_up,43366,43715,Rv0040c,bin9,Rv0040c_up,['Rv0040c'],{9: 1.0},43365,42433,42433,43715,-,931,3313,3.558539205
Rv0041_up,43212,43561,Rv0041,"bin9, bin10",Rv0041_up,['Rv0041'],"{9: 0.5487730061349694, 10: 0.4512269938650307}",43562,46471,43212,46471,+,2910,5930.5,2.037972509
Rv0062_up,65202,65551,Rv0062,bin14,Rv0062_up,['Rv0062'],{14: 1.0},65552,66694,65202,66694,+,1143,5474.5,4.789588801
Rv0063_up,66573,66922,Rv0063,bin14,Rv0063_up,['Rv0063'],{14: 1.0},66923,68362,66573,68362,+,1440,2066,1.434722222
Rv0064_up,68270,68619,Rv0064,"bin14, bin15",Rv0064_up,['Rv0064'],"{14: 0.5261398176291794, 15: 0.47386018237082067}",68620,71559,68270,71559,+,2940,5387.5,1.832482993
Rv0065_up,71471,71820,Rv0065,bin15,Rv0065_up,['Rv0065'],{15: 1.0},71821,72222,71471,72222,+,402,439,1.092039801
Rv0067c_up,75199,75548,Rv0067c,"bin15, bin16",Rv0067c_up,['Rv0067c'],"{15: 0.4043478260869565, 16: 0.5956521739130435}",75198,74629,74629,75548,-,568,234.5,0.412852113
Rv0068_up,74951,75300,Rv0068,"bin15, bin16",Rv0068_up,['Rv0068'],"{15: 0.039619651347068144, 16: 0.9603803486529319}",75301,76212,74951,76212,+,912,594.5,0.651864035
Rv0070c_up,78897,79246,"Rv0069c,Rv0070c",bin16,Rv0070c_up,"['Rv0069c', 'Rv0070c']",{16: 1.0},78896,76237,76237,79246,-,2658,7709,2.900300978
Rv0074_up,82398,82747,"Rv0074,Rv0075","bin17, bin18",Rv0074_up,"['Rv0074', 'Rv0075']","{17: 0.9393720678455432, 18: 0.06062793215445687}",82748,85168,82398,85168,+,2421,7092,2.92936803
Rv0077c_up,86467,86816,Rv0077c,bin18,Rv0077c_up,['Rv0077c'],{18: 1.0},86466,85636,85636,86816,-,829,428.5,0.516887817
Rv0094c_up,104664,105013,Rv0094c,"bin21, bin22",Rv0094c_up,['Rv0094c'],"{21: 0.9900306748466258, 22: 0.009969325153374233}",104663,103710,103710,105013,-,952,36.5,0.038340336
Rv0096_up,104974,105323,"Rv0096,Rv0097,Rv0098,Rv0099,Rv0100,Rv0101","bin21, bin22, bin23, bin24",Rv0096_up,"['Rv0096', 'Rv0097', 'Rv0098', 'Rv0099', 'Rv0100', 'Rv0101']","{21: 0.0021486551010663694, 22: 0.39789909279006846, 23: 0.39789909279006846, 24: 0.20205315931879675}",105324,117539,104974,117539,+,12216,10618.5,0.86922888
Rv0102_up,117364,117713,Rv0102,bin24,Rv0102_up,['Rv0102'],{24: 1.0},117714,119699,117364,119699,+,1986,4614,2.32326284
Rv0103c_up,122174,122523,Rv0103c,"bin24, bin25",Rv0103c_up,['Rv0103c'],"{24: 0.03296282100421617, 25: 0.9670371789957838}",122173,119915,119915,122523,-,2257,4629,2.050952592
Rv0105c_up,124265,124614,Rv0105c,bin25,Rv0105c_up,['Rv0105c'],{25: 1.0},124264,123980,123980,124614,-,283,11,0.038869258
Rv0106_up,124024,124373,Rv0106,"bin25, bin26",Rv0106_up,['Rv0106'],"{25: 0.6315449256625727, 26: 0.3684550743374273}",124374,125570,124024,125570,+,1197,1014.5,0.847535505
Rv0107c_up,130542,130891,Rv0107c,"bin26, bin27",Rv0107c_up,['Rv0107c'],"{26: 0.8302533815964945, 27: 0.16974661840350544}",130541,125643,125643,130891,-,4897,15356,3.135797427
Rv0108c_up,131105,131454,Rv0108c,bin27,Rv0108c_up,['Rv0108c'],{27: 1.0},131104,130895,130895,131454,-,208,12962.5,62.31971154
Rv0110_up,132670,133019,Rv0110,bin27,Rv0110_up,['Rv0110'],{27: 1.0},133020,133769,132670,133769,+,750,580.5,0.774
Rv0112_up,135939,136288,Rv0112,bin28,Rv0112_up,['Rv0112'],{28: 1.0},136289,137245,135939,137245,+,957,917.5,0.958725183
Rv0118c_up,143877,144226,Rv0118c,bin29,Rv0118c_up,['Rv0118c'],{29: 1.0},143876,142128,142128,144226,-,1747,2064.5,1.181740126
Rv0122_up,148141,148490,"Rv0122,Rv0123",bin30,Rv0122_up,"['Rv0122', 'Rv0123']",{30: 1.0},148491,149224,148141,149224,+,734,1108,1.509536785
Rv0124_up,149183,149532,Rv0124,"bin30, bin31",Rv0124_up,['Rv0124'],"{30: 0.45093715545755236, 31: 0.5490628445424476}",149533,150996,149183,150996,+,1464,396.5,0.270833333
Rv0126_up,151974,152323,Rv0126,bin31,Rv0126_up,['Rv0126'],{31: 1.0},152324,154129,151974,154129,+,1806,5113,2.831118494
Rv0127_up,153882,154231,Rv0127,"bin31, bin32",Rv0127_up,['Rv0127'],"{31: 0.6513387660069848, 32: 0.34866123399301513}",154232,155599,153882,155599,+,1368,3205,2.342836257
Rv0136_up,163016,163365,Rv0136,bin33,Rv0136_up,['Rv0136'],{33: 1.0},163366,164691,163016,164691,+,1326,869.5,0.655731523
Rv0140_up,166560,166909,Rv0140,bin34,Rv0140_up,['Rv0140'],{34: 1.0},166910,167290,166560,167290,+,381,1038.5,2.725721785
Rv0143c_up,170183,170532,Rv0143c,"bin34, bin35",Rv0143c_up,['Rv0143c'],"{34: 0.7091306724986332, 35: 0.29086932750136685}",170182,168704,168704,170532,-,1477,4265,2.88761002
Rv0152c_up,180897,181246,"Rv0151c,Rv0152c","bin36, bin37",Rv0152c_up,"['Rv0151c', 'Rv0152c']","{36: 0.6636069114470843, 37: 0.3363930885529158}",180896,177543,177543,181246,-,3352,2168.5,0.646927208
Rv0165c_up,194939,195288,Rv0165c,"bin39, bin40",Rv0165c_up,['Rv0165c'],"{39: 0.748471615720524, 40: 0.251528384279476}",194815,194144,194144,195288,-,670,4795.5,7.157462687
Rv0167_up,196511,196860,"Rv0167,Rv0168,Rv0169,Rv0170,Rv0171,Rv0172,Rv0173,Rv0174","bin40, bin41, bin42",Rv0167_up,"['Rv0167', 'Rv0168', 'Rv0169', 'Rv0170', 'Rv0171', 'Rv0172', 'Rv0173', 'Rv0174']","{40: 0.3398909232567199, 41: 0.4869497467861317, 42: 0.17315932995714842}",196861,206778,196511,206778,+,9918,80451.5,8.111665658
Rv0175_up,206464,206813,"Rv0175,Rv0176,Rv0177,Rv0178",bin42,Rv0175_up,"['Rv0175', 'Rv0176', 'Rv0177', 'Rv0178']",{42: 1.0},206814,209672,206464,209672,+,2859,32455,11.35187128
Rv0186_up,215919,216268,Rv0186,bin44,Rv0186_up,['Rv0186'],{44: 1.0},216269,218344,215919,218344,+,2076,15709,7.566955684
Rv0188_up,219136,219485,Rv0188,bin44,Rv0188_up,['Rv0188'],{44: 1.0},219486,219917,219136,219917,+,432,3191,7.386574074
Rv0198c_up,236508,236857,Rv0198c,"bin47, bin48",Rv0198c_up,['Rv0198c'],"{47: 0.20708795900939367, 48: 0.7929120409906063}",236507,234516,234516,236857,-,1990,11413.5,5.735427136
Rv0202c_up,241293,241642,"Rv0201c,Rv0202c","bin48, bin49",Rv0202c_up,"['Rv0201c', 'Rv0202c']","{48: 0.5622500666488937, 49: 0.43774993335110635}",241292,237892,237892,241642,-,3399,13500,3.971756399
Rv0203_up,241164,241513,Rv0203,bin49,Rv0203_up,['Rv0203'],{49: 1.0},241514,241924,241164,241924,+,411,5725.5,13.93065693
Rv0211_up,251432,251781,Rv0211,bin51,Rv0211_up,['Rv0211'],{51: 1.0},251782,253602,251432,253602,+,1821,7623.5,4.186436024
Rv0214_up,255714,256063,Rv0214,bin52,Rv0214_up,['Rv0214'],{52: 1.0},256064,257677,255714,257677,+,1614,1850.5,1.146530359
Rv0217c_up,260832,261181,Rv0217c,"bin52, bin53",Rv0217c_up,['Rv0217c'],"{52: 0.061953931691818905, 53: 0.938046068308181}",260831,259923,259923,261181,-,907,942,1.038588754
Rv0232_up,277549,277898,"Rv0232,Rv0233",bin56,Rv0232_up,"['Rv0232', 'Rv0233']",{56: 1.0},277899,279529,277549,279529,+,1631,8997,5.516247701
Rv0234c_up,281141,281490,Rv0234c,"bin56, bin57",Rv0234c_up,['Rv0234c'],"{56: 0.20996818663838812, 57: 0.7900318133616119}",281140,279605,279605,281490,-,1534,3476.5,2.266297262
Rv0236A_up,287072,287421,Rv0236A,bin58,Rv0236A_up,['Rv0236A'],{58: 1.0},287071,286898,286898,287421,-,172,927,5.389534884
Rv0239_up,288754,289103,"Rv0239,Rv0240",bin58,Rv0239_up,"['Rv0239', 'Rv0240']",{58: 1.0},289104,289782,288754,289782,+,679,2743,4.039764359
Rv0244c_up,295634,295983,Rv0244c,"bin59, bin60",Rv0244c_up,['Rv0244c'],"{59: 0.55032021957914, 60: 0.44967978042086004}",295633,293798,293798,295983,-,1834,8655,4.719193021
Rv0253_up,305103,305452,Rv0253,bin62,Rv0253_up,['Rv0253'],{62: 1.0},305453,305809,305103,305809,+,357,236.5,0.662464986
Rv0258c_up,310750,311099,Rv0258c,bin63,Rv0258c_up,['Rv0258c'],{63: 1.0},310749,310294,310294,311099,-,454,424.5,0.935022026
Rv0265c_up,317504,317853,Rv0265c,bin64,Rv0265c_up,['Rv0265c'],{64: 1.0},317503,316511,316511,317853,-,991,1658,1.673057518
Rv0276_up,331398,331747,Rv0276,bin67,Rv0276_up,['Rv0276'],{67: 1.0},331748,332668,331398,332668,+,921,4361,4.735070575
Rv0280_up,339014,339363,Rv0280,"bin68, bin69",Rv0280_up,['Rv0280'],"{68: 0.5033146353901071, 69: 0.49668536460989293}",339364,340974,339014,340974,+,1611,4067.5,2.524829299
Rv0282_up,341780,342129,"Rv0282,Rv0283,Rv0284,Rv0285,Rv0286","bin69, bin70, bin71",Rv0282_up,"['Rv0282', 'Rv0283', 'Rv0284', 'Rv0285', 'Rv0286']","{69: 0.33216458698566564, 70: 0.5156233886769104, 71: 0.15221202433742395}",342130,351476,341780,351476,+,9347,170469.5,18.23788381
Rv0288_up,351498,351847,"Rv0288,Rv0289",bin71,Rv0288_up,"['Rv0288', 'Rv0289']",{71: 1.0},351848,353036,351498,353036,+,1189,34020.5,28.61269975
Rv0293c_up,358065,358414,Rv0293c,bin72,Rv0293c_up,['Rv0293c'],{72: 1.0},358064,356862,356862,358414,-,1201,3500.5,2.914654455
Rv0296c_up,361156,361505,"Rv0295c,Rv0296c","bin72, bin73",Rv0296c_up,"['Rv0295c', 'Rv0296c']","{72: 0.41233893010542755, 73: 0.5876610698945725}",361155,358945,358945,361505,-,2209,6515.5,2.949524672
Rv0308_up,376763,377112,Rv0308,bin76,Rv0308_up,['Rv0308'],{76: 1.0},377113,377829,376763,377829,+,717,3368.5,4.69804742
Rv0309_up,377581,377930,Rv0309,bin76,Rv0309_up,['Rv0309'],{76: 1.0},377931,378587,377581,378587,+,657,3395,5.167427702
Rv0312_up,380206,380555,Rv0312,bin77,Rv0312_up,['Rv0312'],{77: 1.0},380556,382418,380206,382418,+,1863,2599,1.395061728
Rv0316_up,384185,384534,Rv0316,"bin77, bin78",Rv0316_up,['Rv0316'],"{77: 0.8455958549222798, 78: 0.1544041450777202}",384535,385149,384185,385149,+,615,4172.5,6.784552846
Rv0317c_up,385944,386293,Rv0317c,bin78,Rv0317c_up,['Rv0317c'],{78: 1.0},385943,385173,385173,386293,-,769,2329,3.028608583
Rv0319_up,386798,387147,Rv0319,bin78,Rv0319_up,['Rv0319'],{78: 1.0},387148,387816,386798,387816,+,669,982,1.467862481
Rv0320_up,387538,387887,Rv0320,bin78,Rv0320_up,['Rv0320'],{78: 1.0},387888,388550,387538,388550,+,663,788,1.188536953
Rv0327c_up,394046,394395,Rv0327c,bin79,Rv0327c_up,['Rv0327c'],{79: 1.0},394045,392696,392696,394395,-,1348,324,0.240356083
Rv0328_up,393761,394110,Rv0328,bin79,Rv0328_up,['Rv0328'],{79: 1.0},394111,394713,393761,394713,+,603,704,1.167495854
Rv0331_up,395851,396200,Rv0331,bin80,Rv0331_up,['Rv0331'],{80: 1.0},396201,397367,395851,397367,+,1167,605.5,0.518851757
Rv0333_up,397904,398253,Rv0333,bin80,Rv0333_up,['Rv0333'],{80: 1.0},398254,398628,397904,398628,+,375,660,1.76
Rv0347_up,416954,417303,"Rv0347,Rv0348,Rv0349",bin84,Rv0347_up,"['Rv0347', 'Rv0348', 'Rv0349']",{84: 1.0},417304,419608,416954,419608,+,2305,3031,1.314967462
Rv0350_up,419485,419834,"Rv0350,Rv0351","bin84, bin85",Rv0350_up,"['Rv0350', 'Rv0351']","{84: 0.17598908594815826, 85: 0.8240109140518418}",419835,422416,419485,422416,+,2582,34067.5,13.19422928
Rv0352_up,422102,422451,"Rv0352,Rv0353",bin85,Rv0352_up,"['Rv0352', 'Rv0353']",{85: 1.0},422452,424019,422102,424019,+,1568,9476.5,6.043686224
Rv0363c_up,442300,442649,Rv0363c,bin89,Rv0363c_up,['Rv0363c'],{89: 1.0},442299,441265,441265,442649,-,1033,4860.5,4.705227493
Rv0365c_up,444198,444547,Rv0365c,bin89,Rv0365c_up,['Rv0365c'],{89: 1.0},444197,443067,443067,444547,-,1129,1278,1.131975199
Rv0369c_up,447047,447396,"Rv0368c,Rv0369c",bin90,Rv0369c_up,"['Rv0368c', 'Rv0369c']",{90: 1.0},447046,445314,445314,447396,-,1731,345.5,0.199595609
Rv0382c_up,458381,458730,"Rv0381c,Rv0382c",bin92,Rv0382c_up,"['Rv0381c', 'Rv0382c']",{92: 1.0},458380,456915,456915,458730,-,1464,2836.5,1.9375
Rv0386_up,463061,463410,Rv0386,"bin93, bin94",Rv0386_up,['Rv0386'],"{93: 0.5376940133037694, 94: 0.4623059866962306}",463411,466668,463061,466668,+,3258,3186.5,0.978054021
Rv0397_up,475466,475815,Rv0397,bin96,Rv0397_up,['Rv0397'],{96: 1.0},475816,476184,475466,476184,+,369,184.5,0.5
Rv0401_up,479439,479788,Rv0401,"bin96, bin97",Rv0401_up,['Rv0401'],"{96: 0.778393351800554, 97: 0.22160664819944598}",479789,480160,479439,480160,+,372,262,0.704301075
Rv0407_up,490433,490782,"Rv0407,Rv0408,Rv0409","bin99, bin100",Rv0407_up,"['Rv0407', 'Rv0408', 'Rv0409']","{99: 0.9982517482517482, 100: 0.0017482517482517483}",490783,495008,490433,495008,+,4226,10493.5,2.483080928
Rv0413_up,499363,499712,Rv0413,"bin100, bin101",Rv0413_up,['Rv0413'],"{100: 0.6354581673306773, 101: 0.3645418326693227}",499713,500366,499363,500366,+,654,1634.5,2.499235474
Rv0418_up,503146,503495,Rv0418,bin101,Rv0418_up,['Rv0418'],{101: 1.0},503496,504998,503146,504998,+,1503,5103.5,3.395542249
Rv0423c_up,510226,510575,Rv0423c,"bin102, bin103",Rv0423c_up,['Rv0423c'],"{102: 0.7116349047141425, 103: 0.2883650952858576}",510225,508582,508582,510575,-,1642,12146.5,7.397381242
Rv0426c_up,515817,516166,Rv0426c,bin104,Rv0426c_up,['Rv0426c'],{104: 1.0},515816,515373,515373,516166,-,442,2942,6.656108597
Rv0430_up,518383,518732,Rv0430,bin104,Rv0430_up,['Rv0430'],{104: 1.0},518733,519041,518383,519041,+,309,2899,9.381877023
Rv0431_up,518723,519072,Rv0431,bin104,Rv0431_up,['Rv0431'],{104: 1.0},519073,519567,518723,519567,+,495,3436,6.941414141
Rv0437c_up,526083,526432,"Rv0435c,Rv0436c,Rv0437c","bin105, bin106",Rv0437c_up,"['Rv0435c', 'Rv0436c', 'Rv0437c']","{105: 0.6495349975526187, 106: 0.3504650024473813}",526082,522347,522347,526432,-,3734,9418.5,2.522362078
Rv0440_up,528258,528607,Rv0440,"bin106, bin107",Rv0440_up,['Rv0440'],"{106: 0.8834262544348708, 107: 0.11657374556512924}",528608,530230,528258,530230,+,1623,38380.5,23.64787431
Rv0441c_up,530725,531074,Rv0441c,bin107,Rv0441c_up,['Rv0441c'],{107: 1.0},530724,530296,530296,531074,-,427,3560,8.337236534
Rv0442c_up,532215,532564,Rv0442c,bin107,Rv0442c_up,['Rv0442c'],{107: 1.0},532214,530751,530751,532564,-,1462,1698,1.161422709
Rv0456A_up,547358,547707,Rv0456A,bin110,Rv0456A_up,['Rv0456A'],{110: 1.0},547357,547076,547076,547707,-,280,151,0.539285714
Rv0457c_up,549608,549957,Rv0457c,bin110,Rv0457c_up,['Rv0457c'],{110: 1.0},549607,547586,547586,549957,-,2020,1409,0.697524752
Rv0462_up,552264,552613,"Rv0462,Rv0463",bin111,Rv0462_up,"['Rv0462', 'Rv0463']",{111: 1.0},552614,554309,552264,554309,+,1696,14616,8.617924528
Rv0470c_up,561712,562061,Rv0470c,bin113,Rv0470c_up,['Rv0470c'],{113: 1.0},561711,560848,560848,562061,-,862,7183,8.332946636
Rv0473_up,563214,563563,Rv0473,bin113,Rv0473_up,['Rv0473'],{113: 1.0},563564,564934,563214,564934,+,1371,2138.5,1.559810357
Rv0474_up,564671,565020,Rv0474,"bin113, bin114",Rv0474_up,['Rv0474'],"{113: 0.4269081500646831, 114: 0.5730918499353169}",565021,565443,564671,565443,+,423,4425.5,10.46217494
Rv0481c_up,570513,570862,Rv0481c,"bin114, bin115",Rv0481c_up,['Rv0481c'],"{114: 0.014857142857142857, 115: 0.9851428571428571}",570512,569988,569988,570862,-,523,989,1.891013384
Rv0486_up,574998,575347,"Rv0486,Rv0487","bin115, bin116",Rv0486_up,"['Rv0486', 'Rv0487']","{115: 0.0012815036309269544, 116: 0.9987184963690731}",575348,577338,574998,577338,+,1991,7939.5,3.987694626
Rv0490_up,578999,579348,Rv0490,"bin116, bin117",Rv0490_up,['Rv0490'],"{116: 0.6329753632343651, 117: 0.36702463676563485}",579349,580581,578999,580581,+,1233,7826,6.347120843
Rv0500A_up,590761,591110,Rv0500A,bin119,Rv0500A_up,['Rv0500A'],{119: 1.0},591111,591347,590761,591347,+,237,2143.5,9.044303797
Rv0515_up,606201,606550,Rv0515,bin122,Rv0515_up,['Rv0515'],{122: 1.0},606551,608062,606201,608062,+,1512,941.5,0.622685185
Rv0520_up,611905,612254,"Rv0520,Rv0521",bin123,Rv0520_up,"['Rv0520', 'Rv0521']",{123: 1.0},612255,612903,611905,612903,+,649,366,0.56394453
Rv0530_up,620557,620906,Rv0530,bin125,Rv0530_up,['Rv0530'],{125: 1.0},620907,622124,620557,622124,+,1218,5210,4.277504105
Rv0542c_up,635505,635854,"Rv0541c,Rv0542c","bin127, bin128",Rv0542c_up,"['Rv0541c', 'Rv0542c']","{127: 0.695, 128: 0.305}",635504,633055,633055,635854,-,2448,6662.5,2.721609477
Rv0543c_up,635876,636225,Rv0543c,bin128,Rv0543c_up,['Rv0543c'],{128: 1.0},635875,635573,635573,636225,-,301,2803.5,9.313953488
Rv0552_up,642539,642888,"Rv0552,Rv0553,Rv0554","bin129, bin130",Rv0552_up,"['Rv0552', 'Rv0553', 'Rv0554']","{129: 0.6623621199892387, 130: 0.3376378800107614}",642889,646255,642539,646255,+,3367,3768.5,1.119245619
